Instrument,CAGR,Max Drawdown,MDD peak,MDD trough,Total x
Nasdaq-100 (INR),0.20534076637992027,-0.40490405190833967,2008-06-05,2008-11-20,33.92215057881573
Nifty 50 (INR),0.09375621240617593,-0.5985591399335757,2008-01-08,2008-10-27,5.425027563695249
Gold (INR),0.1477115362112995,-0.2949061488481315,2012-09-14,2015-08-05,13.45860711379541
"Portfolio (1/3 each, yearly rebal.)",0.16327036305972342,-0.2852093428854787,2008-05-21,2008-11-19,17.35185937157445
