,return,return_pct
2006,0.9536747705520849,95.4
2007,2.163916477507938,216.4
2008,-0.4890549261162558,-48.9
2009,0.9303179143507383,93.0
2010,0.5309624804098896,53.1
2011,-0.1251812185591673,-12.5
2012,0.5398946489457968,54.0
2013,-0.012083057865626134,-1.2
2014,0.5750319980358136,57.5
2015,0.07499447325086228,7.5
2016,0.14695946797406112,14.7
2017,0.6134802331236766,61.3
2018,-0.026349333604168024,-2.6
2019,0.32008525160066603,32.0
2020,0.5214171867412345,52.1
2021,0.7147844285042833,71.5
2022,0.6277343587972439,62.8
2023,1.0762092972097372,107.6
2024,0.24871854140959804,24.9
2025,0.09234302460626509,9.2
2026,-0.05638542534989588,-5.6
