,0,1,2,3,4,5,6,7,8,9
2009-11-30,JINDALSTEL,SHREECEM,VEDL,RECLTD,HINDZINC,CGPOWER,TORNTPHARM,ZYDUSLIFE,MOTHERSON,TVSMOTOR
2009-12-31,VEDL,JINDALSTEL,SHREECEM,HINDZINC,RECLTD,CGPOWER,TORNTPHARM,TVSMOTOR,BAJAJHLDNG,ZYDUSLIFE
2010-01-31,TVSMOTOR,VEDL,SHREECEM,JINDALSTEL,TORNTPHARM,CGPOWER,HINDZINC,SIEMENS,RECLTD,ZYDUSLIFE
2010-02-28,VEDL,SHREECEM,TVSMOTOR,JINDALSTEL,HINDZINC,CGPOWER,TORNTPHARM,CHOLAFIN,SIEMENS,RECLTD
2010-03-31,VEDL,TORNTPHARM,CGPOWER,TVSMOTOR,CHOLAFIN,JINDALSTEL,SHREECEM,ZYDUSLIFE,CUMMINSIND,SIEMENS
2010-04-30,VEDL,TORNTPHARM,CHOLAFIN,TVSMOTOR,SHREECEM,CUMMINSIND,CGPOWER,ZYDUSLIFE,JINDALSTEL,PIDILITIND
2010-05-31,TORNTPHARM,ZYDUSLIFE,TVSMOTOR,VEDL,CHOLAFIN,CUMMINSIND,RECLTD,SHREECEM,BAJAJHLDNG,JINDALSTEL
2010-06-30,TORNTPHARM,TVSMOTOR,ZYDUSLIFE,PIDILITIND,CUMMINSIND,GODREJCP,CHOLAFIN,MOTHERSON,BAJAJHLDNG,VEDL
2010-07-31,TORNTPHARM,CHOLAFIN,TVSMOTOR,CUMMINSIND,MOTHERSON,ZYDUSLIFE,PIDILITIND,BANKBARODA,CANBK,CGPOWER
2010-08-31,TVSMOTOR,CHOLAFIN,CUMMINSIND,MOTHERSON,TORNTPHARM,ZYDUSLIFE,CANBK,PIDILITIND,BANKBARODA,PNB
2010-09-30,CHOLAFIN,TVSMOTOR,CUMMINSIND,PIDILITIND,ZYDUSLIFE,CANBK,BANKBARODA,TORNTPHARM,CGPOWER,RECLTD
2010-10-31,CHOLAFIN,TVSMOTOR,CUMMINSIND,CANBK,BANKBARODA,RECLTD,BAJAJHLDNG,ZYDUSLIFE,PIDILITIND,TORNTPHARM
2010-11-30,CHOLAFIN,TVSMOTOR,CUMMINSIND,ZYDUSLIFE,CANBK,BANKBARODA,SOLARINDS,BAJAJHLDNG,PIDILITIND,AMBUJACEM
2010-12-31,CHOLAFIN,TVSMOTOR,CUMMINSIND,ZYDUSLIFE,BANKBARODA,CANBK,PIDILITIND,GODREJCP,TORNTPHARM,BAJAJHLDNG
2011-01-31,CHOLAFIN,ZYDUSLIFE,CUMMINSIND,GODREJCP,CANBK,BANKBARODA,TVSMOTOR,PIDILITIND,SIEMENS,SOLARINDS
2011-02-28,CHOLAFIN,CANBK,MOTHERSON,BANKBARODA,GODREJCP,TVSMOTOR,ZYDUSLIFE,CUMMINSIND,PIDILITIND,BAJAJHLDNG
2011-03-31,CHOLAFIN,MOTHERSON,CANBK,BANKBARODA,TVSMOTOR,ZYDUSLIFE,GODREJCP,BOSCHLTD,CUMMINSIND,BAJAJHLDNG
2011-04-30,MOTHERSON,ZYDUSLIFE,CANBK,SOLARINDS,BOSCHLTD,PIDILITIND,BANKBARODA,AMBUJACEM,GODREJCP,CHOLAFIN
2011-05-31,MOTHERSON,SOLARINDS,ZYDUSLIFE,BOSCHLTD,HINDZINC,PIDILITIND,CANBK,GODREJCP,AMBUJACEM,SIEMENS
2011-06-30,MOTHERSON,SOLARINDS,HINDZINC,ZYDUSLIFE,BRITANNIA,BOSCHLTD,PIDILITIND,BANKBARODA,GODREJCP,SIEMENS
2011-07-31,SOLARINDS,HINDZINC,ZYDUSLIFE,MOTHERSON,SIEMENS,GODREJCP,BOSCHLTD,PIDILITIND,BRITANNIA,BANKBARODA
2011-08-31,SOLARINDS,ZYDUSLIFE,SIEMENS,HINDZINC,BOSCHLTD,BRITANNIA,GODREJCP,PIDILITIND,TORNTPHARM,AMBUJACEM
2011-09-30,SOLARINDS,ZYDUSLIFE,BOSCHLTD,HINDZINC,BRITANNIA,AMBUJACEM,DIVISLAB,PIDILITIND,SIEMENS,GODREJCP
2011-10-31,SOLARINDS,BRITANNIA,AMBUJACEM,BOSCHLTD,DIVISLAB,PIDILITIND,ZYDUSLIFE,TORNTPHARM,SIEMENS,GODREJCP
2011-11-30,DIVISLAB,BRITANNIA,SOLARINDS,BOSCHLTD,AMBUJACEM,HINDZINC,PIDILITIND,SHREECEM,TORNTPHARM,GODREJCP
2011-12-31,SOLARINDS,DIVISLAB,AMBUJACEM,BRITANNIA,BOSCHLTD,SHREECEM,GODREJCP,PIDILITIND,TORNTPHARM,ZYDUSLIFE
2012-01-31,SOLARINDS,SHREECEM,AMBUJACEM,DIVISLAB,BOSCHLTD,BRITANNIA,GODREJCP,ABB,HINDZINC,PIDILITIND
2012-02-29,SHREECEM,BRITANNIA,SOLARINDS,AMBUJACEM,BOSCHLTD,GODREJCP,DIVISLAB,BPCL,ABB,HINDZINC
2012-03-31,BRITANNIA,SHREECEM,SOLARINDS,GODREJCP,BOSCHLTD,PIDILITIND,AMBUJACEM,BPCL,DIVISLAB,TORNTPHARM
2012-04-30,BRITANNIA,SOLARINDS,GODREJCP,SHREECEM,BOSCHLTD,DIVISLAB,PIDILITIND,TORNTPHARM,CHOLAFIN,BAJAJHLDNG
2012-05-31,GODREJCP,SOLARINDS,SHREECEM,BRITANNIA,BOSCHLTD,DIVISLAB,BPCL,PIDILITIND,AMBUJACEM,CHOLAFIN
