,0,1,2,3,4,5,6,7,8,9
2020-06-30,ADANIGREEN,MUTHOOTFIN,DMART,TORNTPHARM,ZYDUSLIFE,DIVISLAB,BRITANNIA,HDFCAMC,ADANIENSOL,HAL
2020-07-31,ADANIGREEN,MUTHOOTFIN,ZYDUSLIFE,DIVISLAB,LTM,TORNTPHARM,BRITANNIA,HAL,DMART,JINDALSTEL
2020-08-31,ADANIGREEN,CGPOWER,JINDALSTEL,DIVISLAB,MUTHOOTFIN,ZYDUSLIFE,TORNTPHARM,LTM,HAL,DMART
2020-09-30,ADANIGREEN,DIVISLAB,JINDALSTEL,MUTHOOTFIN,ZYDUSLIFE,LTM,TORNTPHARM,CGPOWER,BRITANNIA,HAL
2020-10-31,ADANIGREEN,CGPOWER,DIVISLAB,MUTHOOTFIN,LTM,ZYDUSLIFE,JINDALSTEL,TORNTPHARM,AMBUJACEM,HINDZINC
2020-11-30,ADANIGREEN,CGPOWER,DIVISLAB,LTM,ZYDUSLIFE,MUTHOOTFIN,JINDALSTEL,TORNTPHARM,AMBUJACEM,HINDZINC
2020-12-31,ADANIGREEN,CGPOWER,LTM,DIVISLAB,ZYDUSLIFE,MUTHOOTFIN,JINDALSTEL,TORNTPHARM,DMART,TATAPOWER
2021-01-31,ADANIGREEN,CGPOWER,LTM,DIVISLAB,ZYDUSLIFE,HINDZINC,JINDALSTEL,MUTHOOTFIN,ADANIENSOL,TORNTPHARM
2021-02-28,CGPOWER,ADANIGREEN,ADANIENSOL,JINDALSTEL,MOTHERSON,TATAPOWER,HINDZINC,VEDL,LTM,HAL
2021-03-31,CGPOWER,ADANIGREEN,ADANIENSOL,JINDALSTEL,VEDL,CHOLAFIN,MOTHERSON,TATAPOWER,ADANIPOWER,CUMMINSIND
2021-04-30,CGPOWER,ADANIENSOL,ADANIGREEN,JINDALSTEL,CHOLAFIN,TATAPOWER,VEDL,ADANIPOWER,LTM,MOTHERSON
2021-05-31,CGPOWER,ADANIENSOL,ADANIGREEN,CHOLAFIN,JINDALSTEL,VEDL,TATAPOWER,ADANIPOWER,MOTHERSON,ABB
2021-06-30,CGPOWER,ADANIENSOL,ADANIPOWER,ADANIGREEN,TATAPOWER,VEDL,CHOLAFIN,MOTHERSON,JINDALSTEL,CUMMINSIND
2021-07-31,CGPOWER,ADANIENSOL,VEDL,ADANIPOWER,TATAPOWER,ADANIGREEN,MOTHERSON,DLF,CHOLAFIN,JINDALSTEL
2021-08-31,ADANIENSOL,CGPOWER,ADANIPOWER,VEDL,CHOLAFIN,ADANIGREEN,TATAPOWER,CUMMINSIND,LTM,AMBUJACEM
2021-09-30,ADANIENSOL,CGPOWER,TATAPOWER,DLF,ADANIPOWER,VEDL,LTM,CHOLAFIN,CUMMINSIND,ABB
2021-10-31,ADANIENSOL,CGPOWER,TATAPOWER,VEDL,ADANIPOWER,DLF,CANBK,SOLARINDS,ABB,BANKBARODA
2021-11-30,ADANIENSOL,CGPOWER,TATAPOWER,VEDL,SOLARINDS,ADANIPOWER,LTM,DMART,DLF,ABB
2021-12-31,CGPOWER,ADANIENSOL,TATAPOWER,VEDL,SOLARINDS,LTM,ADANIPOWER,ABB,BAJAJHLDNG,DMART
2022-01-31,CGPOWER,ADANIENSOL,TATAPOWER,VEDL,ADANIPOWER,MOTHERSON,SOLARINDS,CANBK,ADANIGREEN,INDHOTEL
2022-02-28,CGPOWER,ADANIENSOL,TATAPOWER,ADANIPOWER,VEDL,SOLARINDS,INDHOTEL,UNITDSPR,LTM,ADANIGREEN
2022-03-31,CGPOWER,ADANIENSOL,TATAPOWER,INDHOTEL,SOLARINDS,ADANIPOWER,VEDL,ADANIGREEN,UNITDSPR,BAJAJHLDNG
2022-04-30,ADANIPOWER,CGPOWER,ADANIGREEN,ADANIENSOL,TATAPOWER,INDHOTEL,SOLARINDS,VEDL,HAL,VBL
2022-05-31,ADANIPOWER,TATAPOWER,CGPOWER,HAL,INDHOTEL,SOLARINDS,VBL,LODHA,ADANIGREEN,BAJAJHLDNG
2022-06-30,CGPOWER,ADANIENSOL,ADANIPOWER,HAL,SOLARINDS,ADANIGREEN,TATAPOWER,INDHOTEL,VBL,LODHA
2022-07-31,ADANIENSOL,ADANIPOWER,CGPOWER,ADANIGREEN,INDHOTEL,HAL,TATAPOWER,VBL,SOLARINDS,ABB
2022-08-31,ADANIPOWER,CGPOWER,ADANIENSOL,ADANIGREEN,INDHOTEL,SOLARINDS,TVSMOTOR,TATAPOWER,VBL,BANKBARODA
2022-09-30,ADANIPOWER,ADANIENSOL,MAZDOCK,ADANIGREEN,CGPOWER,TVSMOTOR,INDHOTEL,SOLARINDS,HAL,VBL
2022-10-31,ADANIPOWER,MAZDOCK,HAL,ADANIENSOL,VBL,ADANIGREEN,CGPOWER,INDHOTEL,TVSMOTOR,SOLARINDS
2022-11-30,MAZDOCK,ADANIPOWER,HAL,VBL,UNIONBANK,BANKBARODA,CGPOWER,INDHOTEL,CUMMINSIND,CANBK
2022-12-31,ADANIPOWER,MAZDOCK,BANKBARODA,VBL,HAL,UNIONBANK,SOLARINDS,INDHOTEL,TVSMOTOR,CANBK
2023-01-31,MAZDOCK,ADANIPOWER,VBL,HAL,UNIONBANK,SOLARINDS,CGPOWER,TVSMOTOR,BANKBARODA,CUMMINSIND
2023-02-28,MAZDOCK,VBL,HAL,CGPOWER,TVSMOTOR,UNIONBANK,SOLARINDS,CUMMINSIND,INDHOTEL,BANKBARODA
2023-03-31,MAZDOCK,VBL,HAL,UNIONBANK,TVSMOTOR,CGPOWER,ABB,BANKBARODA,CUMMINSIND,PFC
2023-04-30,MAZDOCK,UNIONBANK,VBL,HAL,TVSMOTOR,BANKBARODA,ABB,CGPOWER,PFC,RECLTD
2023-05-31,MAZDOCK,VBL,CGPOWER,UNIONBANK,BANKBARODA,TVSMOTOR,RECLTD,PFC,CUMMINSIND,HAL
2023-06-30,MAZDOCK,PFC,HAL,UNIONBANK,VBL,BANKBARODA,RECLTD,CGPOWER,CUMMINSIND,ABB
2023-07-31,MAZDOCK,PFC,UNIONBANK,RECLTD,PNB,HAL,IRFC,ZYDUSLIFE,VBL,CGPOWER
2023-08-31,MAZDOCK,IRFC,RECLTD,PFC,UNIONBANK,CGPOWER,PNB,VBL,HAL,ZYDUSLIFE
2023-09-30,MAZDOCK,IRFC,RECLTD,PFC,UNIONBANK,PNB,CGPOWER,VBL,LODHA,CANBK
2023-10-31,IRFC,RECLTD,MAZDOCK,PFC,UNIONBANK,VBL,PNB,CHOLAFIN,LODHA,CGPOWER
2023-11-30,RECLTD,PFC,IRFC,MAZDOCK,LODHA,TVSMOTOR,VBL,HAL,SOLARINDS,CGPOWER
2023-12-31,RECLTD,PFC,IRFC,MAZDOCK,HAL,DLF,LODHA,TVSMOTOR,VBL,IOC
2024-01-31,IRFC,RECLTD,PFC,MAZDOCK,ADANIPOWER,HAL,DLF,VBL,PNB,LODHA
2024-02-29,IRFC,RECLTD,ADANIGREEN,ADANIPOWER,PFC,MAZDOCK,LODHA,DLF,PNB,HAL
2024-03-31,IRFC,RECLTD,PFC,MAZDOCK,ADANIPOWER,PNB,DLF,HAL,LODHA,UNIONBANK
2024-04-30,IRFC,RECLTD,PFC,MAZDOCK,PNB,HAL,ADANIPOWER,LODHA,SOLARINDS,HDFCAMC
2024-05-31,IRFC,RECLTD,MAZDOCK,PFC,HAL,ADANIPOWER,LODHA,PNB,SOLARINDS,HINDZINC
2024-06-30,IRFC,MAZDOCK,RECLTD,PFC,ADANIPOWER,HAL,SOLARINDS,PNB,HINDZINC,MOTHERSON
2024-07-31,IRFC,RECLTD,SOLARINDS,MAZDOCK,PFC,ADANIPOWER,HAL,IOC,GAIL,HINDZINC
2024-08-31,IRFC,PFC,RECLTD,HAL,MAZDOCK,BPCL,CUMMINSIND,SOLARINDS,IOC,VEDL
2024-09-30,VEDL,SOLARINDS,HAL,BPCL,CUMMINSIND,MOTHERSON,IOC,IRFC,PFC,BOSCHLTD
2024-10-31,VEDL,HAL,IRFC,CUMMINSIND,MAZDOCK,SIEMENS,HINDZINC,MOTHERSON,BPCL,PFC
2024-11-30,MAZDOCK,VEDL,SIEMENS,IRFC,HAL,INDHOTEL,CUMMINSIND,HINDZINC,MOTHERSON,SOLARINDS
2024-12-31,INDHOTEL,MAZDOCK,VEDL,CUMMINSIND,SIEMENS,CGPOWER,DIVISLAB,BAJAJHLDNG,BOSCHLTD,MOTHERSON
2025-01-31,MAZDOCK,VEDL,MUTHOOTFIN,SOLARINDS,INDHOTEL,DIVISLAB,HINDZINC,SIEMENS,BAJAJHLDNG,CGPOWER
2025-02-28,MAZDOCK,MUTHOOTFIN,VEDL,DIVISLAB,HINDZINC,SOLARINDS,CGPOWER,CHOLAFIN,BAJAJHLDNG,INDHOTEL
2025-03-31,MAZDOCK,VEDL,DIVISLAB,HINDZINC,MUTHOOTFIN,BAJAJHLDNG,INDHOTEL,CHOLAFIN,SOLARINDS,HAL
2025-04-30,MAZDOCK,DIVISLAB,BAJAJHLDNG,SOLARINDS,INDHOTEL,UNITDSPR,TVSMOTOR,MUTHOOTFIN,TORNTPHARM,CHOLAFIN
2025-05-31,MAZDOCK,SOLARINDS,BAJAJHLDNG,DIVISLAB,INDHOTEL,MUTHOOTFIN,UNITDSPR,CHOLAFIN,TVSMOTOR,HDFCAMC
2025-06-30,SOLARINDS,BAJAJHLDNG,MAZDOCK,DIVISLAB,MUTHOOTFIN,HDFCAMC,TVSMOTOR,TORNTPHARM,INDHOTEL,UNIONBANK
2025-07-31,BAJAJHLDNG,MUTHOOTFIN,HDFCAMC,DIVISLAB,SOLARINDS,TORNTPHARM,BOSCHLTD,INDHOTEL,SHREECEM,TVSMOTOR
2025-08-31,MUTHOOTFIN,SOLARINDS,BAJAJHLDNG,HDFCAMC,BOSCHLTD,MAZDOCK,DIVISLAB,INDHOTEL,TVSMOTOR,SHREECEM
2025-09-30,MUTHOOTFIN,MAZDOCK,HDFCAMC,TVSMOTOR,BAJAJHLDNG,UNIONBANK,SOLARINDS,CANBK,SHREECEM,ADANIPOWER
2025-10-31,MUTHOOTFIN,TVSMOTOR,CANBK,SOLARINDS,HYUNDAI,MAZDOCK,CHOLAFIN,ADANIPOWER,UNIONBANK,PNB
2025-11-30,MUTHOOTFIN,CANBK,TVSMOTOR,CHOLAFIN,ADANIPOWER,CUMMINSIND,UNIONBANK,BPCL,HDFCAMC,VEDL
2025-12-31,MUTHOOTFIN,CANBK,TVSMOTOR,CHOLAFIN,VEDL,HINDZINC,BPCL,CUMMINSIND,ADANIPOWER,UNIONBANK
2026-01-31,MUTHOOTFIN,CANBK,VEDL,UNIONBANK,TVSMOTOR,BANKBARODA,BPCL,CUMMINSIND,JINDALSTEL,HINDZINC
2026-02-28,CANBK,VEDL,UNIONBANK,CUMMINSIND,TVSMOTOR,IOC,BPCL,MOTHERSON,BANKBARODA,MUTHOOTFIN
2026-03-31,VEDL,CUMMINSIND,ADANIPOWER,CANBK,TVSMOTOR,UNIONBANK,MUTHOOTFIN,TORNTPHARM,JINDALSTEL,MOTHERSON
2026-04-30,ADANIPOWER,CUMMINSIND,MUTHOOTFIN,ADANIENSOL,CANBK,HINDZINC,MOTHERSON,JINDALSTEL,UNIONBANK,ADANIGREEN
2026-05-31,ADANIPOWER,CUMMINSIND,ADANIENSOL,MUTHOOTFIN,ADANIGREEN,MOTHERSON,HINDZINC,TORNTPHARM,CGPOWER,JINDALSTEL
2026-06-30,ADANIPOWER,ADANIENSOL,CUMMINSIND,ADANIGREEN,MOTHERSON,CGPOWER,TORNTPHARM,ENRIN,BOSCHLTD,HINDZINC
