,strategy
2006-08-31,0.5124727849522189
2006-09-30,0.06805457220332956
2006-10-31,0.07301745781091828
2006-11-30,0.06648140331619441
2006-12-31,0.0568447175532436
2007-01-31,-0.021037576748344628
2007-02-28,-0.08020771172110636
2007-03-31,-0.02479355749126606
2007-04-30,0.12180490948744489
2007-05-31,0.10157472491225605
2007-06-30,0.553180720525115
2007-07-31,0.07697761270974382
2007-08-31,-0.010641244776351918
2007-09-30,0.1680002679926061
2007-10-31,0.29402796335324194
2007-11-30,0.06653060058908478
2007-12-31,0.09294666952304535
2008-01-31,-0.19962000157751542
2008-02-29,0.009753593324605453
2008-03-31,-0.12753781032689132
2008-04-30,0.10354765567126759
2008-05-31,-0.05353173218352364
2008-06-30,-0.17897089796295945
2008-07-31,0.040855674762067785
2008-08-31,-0.0017930917433594655
2008-09-30,-0.08005880603413126
2008-10-31,-0.21074807113880714
2008-11-30,-0.001136721527845771
2008-12-31,0.12141771967544929
2009-01-31,-0.08613075032968721
2009-02-28,-0.013538781395426854
2009-03-31,0.03949404587021125
2009-04-30,0.0874626594647822
2009-05-31,0.23351763396901964
2009-06-30,0.018783255784786235
2009-07-31,0.1375288421166588
2009-08-31,-0.02677024516653762
2009-09-30,0.09150785763791458
2009-10-31,0.03276543830529196
2009-11-30,0.14136144898885458
2009-12-31,0.05820956623259772
2010-01-31,-0.0017186943756615212
2010-02-28,0.030991062607360263
2010-03-31,0.14030125960350762
2010-04-30,0.04863156885324566
2010-05-31,-0.024419982626330876
2010-06-30,0.031876162898631585
2010-07-31,0.06422370321770028
2010-08-31,0.05074334674024675
2010-09-30,0.06211584957569587
2010-10-31,0.06300225214786925
2010-11-30,0.015473026787689845
2010-12-31,-0.036127349267033385
2011-01-31,-0.07395035181118868
2011-02-28,-0.036217153140921395
2011-03-31,0.08027212110117006
2011-04-30,0.0008596229735715594
2011-05-31,-0.010886889864321288
2011-06-30,0.0032915056097575636
2011-07-31,0.02609495019274752
2011-08-31,-0.042314745593904496
2011-09-30,-0.03394776564701688
2011-10-31,0.03146831016079644
2011-11-30,-0.060216829592792044
2011-12-31,-0.007271042128532003
2012-01-31,0.030355628030320582
2012-02-29,0.06538435538255953
2012-03-31,0.053182740022206895
2012-04-30,0.004453844761970966
2012-05-31,-0.03141868915034772
2012-06-30,0.06863533251690856
2012-07-31,0.03868670652549477
2012-08-31,0.020566817806910533
2012-09-30,0.04878995876783406
2012-10-31,0.024166187370876092
2012-11-30,0.10638635233316159
2012-12-31,0.016965998556988764
2013-01-31,-0.009465740253195062
2013-02-28,-0.01010071616640626
