horizon_days,avg_fwd_return_%,median_fwd_return_%,win_rate_%,universe_avg_%,edge_vs_universe_%,n_obs
1,0.21129612640120463,-0.024672655568969137,49.080705505077496,0.08545913682346504,0.1258369895777396,18710
2,0.250209859274697,-0.0598626172289618,48.93582887700535,0.17277477564963883,0.0774350836250582,18700
3,0.3263419090689762,-0.042671399218124906,49.422150882825036,0.25981761886541765,0.06652429020355859,18690
5,0.5091111647386833,0.0,49.99464381360471,0.4331093690755236,0.07600179566315968,18670
10,0.9472417415223301,0.374004838585007,52.099892588614395,0.873791181775441,0.07345055974688902,18620
15,1.4843064528473469,0.7229664739729413,53.419493807215936,1.327452343469267,0.15685410937807986,18570
20,2.002604706276132,1.1958094883711468,54.83261339092873,1.7859425538436593,0.21666215243247267,18520
