hold_days,years,total_return_%,CAGR_%,ann_vol_%,sharpe,max_drawdown_%,calmar
1,7.43,3902.5,64.32,26.4,2.02,-32.7,1.97
2,7.42,725.7,32.89,23.4,1.33,-38.2,0.86
3,7.42,516.4,27.77,22.1,1.22,-38.8,0.72
5,7.41,424.7,25.06,21.3,1.16,-39.4,0.64
10,7.39,363.2,23.04,21.0,1.09,-35.8,0.64
15,7.37,394.9,24.22,20.9,1.14,-37.4,0.65
20,7.35,415.0,24.97,20.8,1.18,-35.9,0.7
